Year,Glob,N.Hemi,S.Hemi,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2003, -0.134, -0.293,  0.026, -0.465, -0.006,  0.028, -1.184, -0.248, -0.369, -0.035,  0.022, -0.126,  0.164,  0.220
2004, -0.181, -0.263, -0.099, -0.391, -0.119, -0.054, -1.303, -0.238, -0.188, -0.072, -0.165, -0.094,  0.026, -0.095
2005, -0.021, -0.066,  0.024, -0.121,  0.024,  0.018, -0.292,  0.123, -0.227,  0.017,  0.032, -0.145,  0.034,  0.478
2006, -0.080, -0.080, -0.080, -0.090, -0.107, -0.034, -0.191, -0.070, -0.070, -0.066, -0.148, -0.090, -0.038,  0.142
2007, -0.063, -0.050, -0.076,  0.011, -0.133, -0.044,  0.022,  0.155, -0.089, -0.142, -0.124, -0.124, -0.111,  0.331
2008, -0.181, -0.223, -0.138, -0.187, -0.250, -0.082, -0.601, -0.021, -0.161, -0.277, -0.223, -0.034, -0.031, -0.328
2009, -0.033, -0.110,  0.044, -0.228,  0.051,  0.050, -0.322, -0.434, -0.059,  0.067,  0.036, -0.004,  0.098,  0.117
2010,  0.007,  0.058, -0.045,  0.021,  0.057, -0.075,  0.259, -0.074,  0.005,  0.114, -0.000, -0.102,  0.091, -0.324
2011, -0.096, -0.127, -0.066, -0.080, -0.263,  0.110,  0.198, -0.125, -0.143, -0.197, -0.329, -0.010,  0.095,  0.497
2012, -0.061, -0.086, -0.035, -0.054, -0.086, -0.034,  0.240, -0.190, -0.061, -0.134, -0.037, -0.056, -0.004, -0.027
2013, -0.031, -0.095,  0.033, -0.112, -0.027,  0.045, -0.443, -0.063, -0.034, -0.069,  0.015,  0.048,  0.007,  0.110
2014,  0.030,  0.042,  0.017,  0.009,  0.045,  0.029, -0.173,  0.098,  0.010,  0.091, -0.001,  0.108, -0.009, -0.130
2015,  0.113,  0.189,  0.038,  0.145,  0.233, -0.078, -0.366,  0.346,  0.182,  0.254,  0.212,  0.108, -0.111, -0.570
2016,  0.315,  0.402,  0.228,  0.475,  0.372,  0.079,  1.186,  0.307,  0.349,  0.292,  0.452,  0.066, -0.024,  0.323
2017,  0.208,  0.253,  0.164,  0.291,  0.167,  0.180,  0.253,  0.270,  0.317,  0.196,  0.138,  0.198,  0.194,  0.099
2018,  0.100,  0.097,  0.103,  0.131,  0.019,  0.177,  0.134, -0.016,  0.228,  0.046, -0.008,  0.142,  0.103,  0.434
2019,  0.327,  0.366,  0.288,  0.409,  0.336,  0.232,  0.773,  0.446,  0.263,  0.302,  0.370,  0.267,  0.008,  0.578
2020,  0.271,  0.411,  0.131,  0.559,  0.190,  0.092,  0.761,  0.748,  0.367,  0.190,  0.190, -0.019,  0.125,  0.359
2021,  0.088,  0.191, -0.014,  0.316, -0.037,  0.028, -0.040,  0.308,  0.441,  0.004, -0.078,  0.057,  0.037, -0.079
2003,  0.031, -0.122,  0.183, -0.318,  0.189,  0.168, -0.970, -0.030, -0.292,  0.171,  0.206, -0.013,  0.385,  0.277
2004, -0.066, -0.146,  0.014, -0.288,  0.019,  0.042, -1.365, -0.047, -0.089,  0.067, -0.028, -0.005,  0.174, -0.081
2005,  0.073,  0.040,  0.105, -0.002,  0.111,  0.096, -0.170,  0.301, -0.148,  0.104,  0.118, -0.086,  0.145,  0.543
2006, -0.032, -0.038, -0.026, -0.048, -0.068,  0.032, -0.211,  0.039, -0.051, -0.022, -0.113, -0.038,  0.074,  0.161
2007, -0.029, -0.016, -0.042,  0.055, -0.118,  0.006,  0.095,  0.200, -0.055, -0.121, -0.114, -0.108, -0.021,  0.404
2008, -0.171, -0.212, -0.129, -0.167, -0.247, -0.073, -0.529,  0.004, -0.161, -0.279, -0.214, -0.058,  0.026, -0.314
2009, -0.061, -0.195,  0.074, -0.357,  0.032,  0.113, -0.712, -0.511, -0.136,  0.047,  0.016,  0.002,  0.176,  0.319
2010, -0.001,  0.038, -0.040,  0.001,  0.038, -0.055,  0.205, -0.054, -0.030,  0.093, -0.018, -0.088,  0.151, -0.365
2011, -0.090, -0.125, -0.056, -0.078, -0.260,  0.125,  0.194, -0.100, -0.154, -0.195, -0.326, -0.017,  0.164,  0.470
2012, -0.063, -0.076, -0.050, -0.031, -0.097, -0.051,  0.320, -0.163, -0.059, -0.144, -0.049, -0.046, -0.005, -0.156
2013, -0.054, -0.123,  0.014, -0.141, -0.061,  0.041, -0.534, -0.113, -0.029, -0.096, -0.026,  0.028,  0.022,  0.122
2014,  0.043,  0.064,  0.023,  0.026,  0.072,  0.022, -0.136,  0.056,  0.060,  0.121,  0.024,  0.125, -0.042, -0.160
2015,  0.130,  0.239,  0.022,  0.203,  0.274, -0.134, -0.203,  0.406,  0.204,  0.292,  0.257,  0.133, -0.307, -0.591
2016,  0.295,  0.406,  0.183,  0.489,  0.367,  0.005,  1.301,  0.275,  0.360,  0.283,  0.451,  0.028, -0.164,  0.272
2017,  0.176,  0.241,  0.110,  0.291,  0.141,  0.107,  0.296,  0.256,  0.312,  0.166,  0.116,  0.167,  0.014,  0.113
2018,  0.069,  0.085,  0.053,  0.115,  0.016,  0.094,  0.198, -0.069,  0.210,  0.040, -0.009,  0.135, -0.122,  0.403
2019,  0.259,  0.312,  0.206,  0.347,  0.307,  0.107,  0.698,  0.388,  0.204,  0.258,  0.355,  0.250, -0.297,  0.486
2020,  0.266,  0.433,  0.100,  0.589,  0.196,  0.037,  0.835,  0.733,  0.412,  0.198,  0.194,  0.013, -0.099,  0.383
2021,  0.122,  0.230,  0.013,  0.318,  0.062,  0.004, -0.202,  0.280,  0.517,  0.098,  0.027,  0.112, -0.149, -0.012
2003, -0.100, -0.145, -0.055, -0.237,  0.010, -0.110, -0.573, -0.100, -0.217, -0.007,  0.027, -0.182,  0.066, -0.247
2004, -0.183, -0.235, -0.132, -0.352, -0.080, -0.153, -1.603, -0.129, -0.093, -0.059, -0.101, -0.146,  0.058, -0.652
2005, -0.042, -0.038, -0.045, -0.061, -0.013, -0.060, -0.081,  0.143, -0.185, -0.002, -0.024, -0.135,  0.012,  0.043
2006, -0.081, -0.077, -0.085, -0.090, -0.077, -0.077, -0.334, -0.024, -0.056, -0.057, -0.097, -0.112,  0.021, -0.176
2007, -0.054, -0.039, -0.069,  0.052, -0.170, -0.006,  0.044,  0.238, -0.064, -0.176, -0.164, -0.128, -0.101,  0.614
2008, -0.175, -0.211, -0.140, -0.160, -0.256, -0.083, -0.531, -0.007, -0.138, -0.287, -0.225, -0.098, -0.085, -0.019
2009, -0.063, -0.169,  0.043, -0.300,  0.046,  0.030, -0.652, -0.481, -0.073,  0.028,  0.064, -0.023, -0.024,  0.331
2010,  0.003,  0.006, -0.000, -0.053,  0.050, -0.004,  0.150, -0.219, -0.016,  0.094,  0.006,  0.009,  0.029, -0.134
2011, -0.110, -0.149, -0.072, -0.091, -0.263,  0.074,  0.278, -0.146, -0.175, -0.235, -0.291,  0.018,  0.008,  0.428
2012, -0.070, -0.078, -0.063, -0.034, -0.106, -0.059,  0.146, -0.154, -0.016, -0.143, -0.068, -0.062,  0.020, -0.224
2013, -0.040, -0.093,  0.013, -0.129, -0.050,  0.062, -0.522, -0.039, -0.061, -0.040, -0.060,  0.004,  0.053,  0.253
2014,  0.029,  0.027,  0.030, -0.000,  0.039,  0.043, -0.032,  0.055, -0.023,  0.069,  0.009,  0.100,  0.009, -0.078
2015,  0.181,  0.287,  0.076,  0.242,  0.328, -0.074, -0.066,  0.400,  0.244,  0.354,  0.301,  0.130,  0.008, -0.951
2016,  0.300,  0.418,  0.181,  0.473,  0.382,  0.017,  1.185,  0.353,  0.323,  0.335,  0.428,  0.051,  0.084, -0.221
2017,  0.205,  0.288,  0.122,  0.317,  0.186,  0.118,  0.457,  0.298,  0.287,  0.244,  0.129,  0.139,  0.177, -0.087
2018,  0.131,  0.146,  0.117,  0.170,  0.045,  0.208,  0.077,  0.006,  0.302,  0.109, -0.019,  0.178,  0.203,  0.321
2019,  0.260,  0.322,  0.198,  0.344,  0.267,  0.166,  0.640,  0.352,  0.246,  0.288,  0.247,  0.125,  0.222,  0.178
2020,  0.302,  0.466,  0.137,  0.600,  0.233,  0.094,  0.841,  0.738,  0.438,  0.265,  0.202, -0.039,  0.220,  0.274
2021,  0.130,  0.250,  0.010,  0.348,  0.025,  0.052, -0.031,  0.274,  0.515,  0.103, -0.053,  0.098,  0.150, -0.314
